date,revenue,order_count,item_quantity,year,month,day,dayofweek,dayofyear,is_weekend,is_holiday_month,rev_lag_1,orders_lag_1,rev_lag_7,orders_lag_7,rev_lag_14,orders_lag_14,rev_lag_30,orders_lag_30,rev_roll_mean_7,rev_roll_std_7,rev_roll_mean_14,rev_roll_std_14,rev_roll_mean_30,rev_roll_std_30
2023-02-06,114.05,1.0,1.0,2023,2,6,0,37,0,0,264.99,2.0,0.0,0.0,136.73,1.0,277.13,1.0,685.53,672.9721026659773,466.7442857142858,527.2182100087545,305.0726666666667,414.57826583528055
2023-02-07,0.0,0.0,0.0,2023,2,7,1,38,0,0,114.05,1.0,1630.3300000000002,2.0,306.81,2.0,345.91999999999996,2.0,701.8228571428572,654.7427630938806,465.12428571428575,528.3439017958237,299.63666666666666,416.0239291968286
2023-02-08,575.85,1.0,3.0,2023,2,8,2,39,0,0,0.0,0.0,132.76999999999998,1.0,601.88,3.0,0.0,0.0,468.9185714285714,551.1877295570772,443.2092857142857,541.6121283363113,288.106,419.47638448674195
2023-02-09,663.1999999999999,3.0,5.0,2023,2,9,3,40,0,0,575.85,1.0,250.91,1.0,309.83,1.0,426.6,1.0,532.2157142857143,531.2313133296122,441.35,541.0699396423861,307.30100000000004,419.0132406215905
2023-02-10,0.0,0.0,0.0,2023,2,10,4,41,0,0,663.1999999999999,3.0,1150.8600000000001,3.0,0.0,0.0,0.0,0.0,591.1142857142858,517.5230970323013,466.59071428571434,542.7024567627951,315.1876666666667,423.5383238018144
2023-02-11,300.84,1.0,2.0,2023,2,11,5,42,1,0,0.0,0.0,1368.85,3.0,270.56,1.0,0.0,0.0,426.70571428571424,492.25171768304136,466.59071428571434,542.7024567627951,315.1876666666667,423.5383238018144
2023-02-12,684.9300000000001,1.0,5.0,2023,2,12,6,43,1,0,300.84,1.0,264.99,2.0,109.9,1.0,0.0,0.0,274.1328571428571,264.30017881910226,468.75357142857143,541.9208856907087,325.2156666666667,419.3592159036609
2023-02-13,52.2,1.0,2.0,2023,2,13,0,44,0,0,684.9300000000001,1.0,114.05,1.0,0.0,0.0,673.22,1.0,334.1242857142857,306.2149047568358,509.8271428571429,534.3691484995478,348.04666666666674,419.687648297318
2023-02-14,193.0,1.0,1.0,2023,2,14,1,45,0,0,52.2,1.0,0.0,0.0,1630.3300000000002,2.0,0.0,0.0,325.28857142857134,314.4061943001213,513.5557142857143,530.7077483557547,327.34599999999995,418.4093840561022
2023-02-15,140.55,1.0,1.0,2023,2,15,2,46,0,0,193.0,1.0,575.85,1.0,132.76999999999998,1.0,0.0,0.0,352.85999999999996,288.52320986938514,410.8892857142857,426.9268453902085,333.7793333333333,414.66969730329845
2023-02-16,0.0,0.0,0.0,2023,2,16,3,47,0,0,140.55,1.0,663.1999999999999,3.0,250.91,1.0,331.24,1.0,290.6742857142857,279.21181039115214,411.44500000000005,426.54187060682455,338.46433333333334,411.55081946791535
2023-02-17,117.03,1.0,1.0,2023,2,17,4,48,0,0,0.0,0.0,0.0,0.0,1150.8600000000001,3.0,0.0,0.0,195.93142857142857,241.74300406482422,393.52285714285716,438.8982914320559,327.42299999999994,416.16876615763994
2023-02-18,33.91,1.0,1.0,2023,2,18,5,49,1,0,117.03,1.0,300.84,1.0,1368.85,3.0,0.0,0.0,212.65,229.68014585505625,319.67785714285714,385.3827077510306,331.32399999999996,413.5339570479359
2023-02-19,473.09000000000003,3.0,3.0,2023,2,19,6,50,1,0,33.91,1.0,684.9300000000001,1.0,264.99,2.0,0.0,0.0,174.5171428571429,234.70176975005842,224.325,245.63395974654838,332.4543333333333,412.6424869953143
2023-02-20,1426.3899999999999,2.0,7.0,2023,2,20,0,51,0,0,473.09000000000003,3.0,52.2,1.0,114.05,1.0,201.69,1.0,144.25428571428571,159.5426311739425,239.1892857142857,254.4232804860759,348.224,408.51847024972125
2023-02-21,256.76,1.0,3.0,2023,2,21,1,52,0,0,1426.3899999999999,2.0,193.0,1.0,0.0,0.0,361.96,2.0,340.5671428571428,503.0490267927598,332.92785714285714,403.09137080584054,389.0473333333333,452.2246256615319
2023-02-22,277.81,2.0,2.0,2023,2,22,2,53,0,0,256.76,1.0,140.55,1.0,575.85,1.0,136.73,1.0,349.6757142857142,500.502539649139,351.26785714285717,392.4798963823313,385.54066666666665,452.84935316461383
2023-02-23,127.71,1.0,1.0,2023,2,23,3,54,0,0,277.81,2.0,0.0,0.0,663.1999999999999,3.0,306.81,2.0,369.28428571428566,493.5849128521231,329.97928571428565,387.4115452285507,390.2433333333334,450.90480911724313
2023-02-24,2505.31,2.0,8.0,2023,2,24,4,55,0,0,127.71,1.0,117.03,1.0,0.0,0.0,601.88,3.0,387.5285714285714,479.82873182100326,291.72999999999996,378.30948659286037,384.27333333333337,453.2272271193544
2023-02-25,1755.6299999999999,2.0,6.0,2023,2,25,5,56,1,0,2505.31,2.0,33.91,1.0,300.84,1.0,309.83,1.0,728.7114285714285,910.8971931824244,470.6807142857143,692.1003644921881,447.72099999999995,595.6077264519915
2023-02-26,987.9,3.0,5.0,2023,2,26,6,57,1,0,1755.6299999999999,2.0,473.09000000000003,3.0,684.9300000000001,1.0,0.0,0.0,974.6714285714286,924.3683118113431,574.5942857142857,769.5210429942698,495.91433333333333,640.8411082195204
2023-02-27,955.9300000000001,3.0,5.0,2023,2,27,0,58,0,0,987.9,3.0,1426.3899999999999,2.0,52.2,1.0,270.56,1.0,1048.2157142857143,897.9115015014406,596.2349999999999,777.0855521334927,528.8443333333333,639.8607008085396
2023-02-28,623.99,2.0,2.0,2023,2,28,1,59,0,0,955.9300000000001,3.0,256.76,1.0,193.0,1.0,109.9,1.0,981.0071428571429,882.3597438443932,660.7871428571428,765.8717568429262,551.69,642.5505055152715
2023-03-01,45.82,1.0,2.0,2023,3,1,2,60,0,0,623.99,2.0,277.81,2.0,140.55,1.0,0.0,0.0,1033.4685714285715,842.1217460761158,691.5721428571429,754.1952060429261,568.8263333333332,637.1948946777064
2023-03-02,890.1600000000001,3.0,8.0,2023,3,2,3,61,0,0,45.82,1.0,127.71,1.0,0.0,0.0,1630.3300000000002,2.0,1000.3271428571428,880.5070088063712,684.8057142857142,759.9223016427836,570.3536666666665,635.8378920788957
2023-03-03,1643.92,2.0,4.0,2023,3,3,4,62,0,0,890.1600000000001,3.0,2505.31,2.0,117.03,1.0,132.76999999999998,1.0,1109.2485714285715,797.8496656101862,748.3885714285715,735.0498339553599,545.6813333333333,606.9956958248428
2023-03-04,354.34000000000003,1.0,2.0,2023,3,4,5,63,1,0,1643.92,2.0,1755.6299999999999,2.0,33.91,1.0,250.91,1.0,986.1928571428572,584.5613164221039,857.4521428571428,747.3394953194202,596.053,633.6642949851014
2023-03-05,1674.4899999999998,6.0,14.0,2023,3,5,6,64,1,0,354.34000000000003,1.0,987.9,3.0,473.09000000000003,3.0,1150.8600000000001,3.0,786.0085714285715,512.6662128009015,880.34,724.7428396759353,599.5006666666667,632.0008624826794
2023-03-06,587.65,2.0,4.0,2023,3,6,0,65,0,0,1674.4899999999998,6.0,955.9300000000001,3.0,1426.3899999999999,2.0,1368.85,3.0,884.092857142857,613.4948090982322,966.1542857142857,743.6915595523797,616.955,654.5804909529514
2023-03-07,1681.23,5.0,10.0,2023,3,7,1,66,0,0,587.65,2.0,623.99,2.0,256.76,1.0,264.99,2.0,831.4814285714285,622.0392994398497,906.2442857142858,737.5219648850548,590.9150000000001,638.9906695921796
2023-03-08,0.0,0.0,0.0,2023,3,8,2,67,0,0,1681.23,5.0,45.82,1.0,277.81,2.0,114.05,1.0,982.5157142857142,688.1058292844483,1007.9921428571428,739.2844088314109,638.1229999999999,665.8327695872342
2023-03-09,0.0,0.0,0.0,2023,3,9,3,68,0,0,0.0,0.0,890.1600000000001,3.0,127.71,1.0,0.0,0.0,975.97,698.6386926015479,988.1485714285715,763.7160234704353,634.3213333333333,669.2450689820446
2023-03-10,319.71000000000004,2.0,4.0,2023,3,10,4,69,0,0,0.0,0.0,1643.92,2.0,2505.31,2.0,575.85,1.0,848.8042857142857,791.6788479102947,979.0264285714286,775.4565014692179,634.3213333333333,669.2450689820446
2023-03-11,1069.1599999999999,4.0,8.0,2023,3,11,5,70,1,0,319.71000000000004,2.0,354.34000000000003,1.0,1755.6299999999999,2.0,663.1999999999999,3.0,659.6314285714286,725.4607230679588,822.9121428571428,655.2321634020977,625.7833333333333,671.6463144385225
2023-03-12,127.71,1.0,1.0,2023,3,12,6,71,1,0,1069.1599999999999,4.0,1674.4899999999998,6.0,987.9,3.0,0.0,0.0,761.7485714285714,725.6347775896763,773.8785714285714,603.7252797150645,639.3153333333333,676.4981787611305
2023-03-13,1499.9499999999998,3.0,6.0,2023,3,13,0,72,0,0,127.71,1.0,587.65,2.0,955.9300000000001,3.0,300.84,1.0,540.78,630.6601317138521,712.4364285714286,623.7092214338732,643.5723333333334,672.7277476255921
2023-03-14,1294.6899999999998,3.0,6.0,2023,3,14,1,73,0,0,1499.9499999999998,3.0,1681.23,5.0,623.99,2.0,684.9300000000001,1.0,671.1085714285715,728.6179550680995,751.2950000000001,656.149617878657,683.5426666666666,687.1305773508954
2023-03-15,575.99,3.0,4.0,2023,3,15,2,74,0,0,1294.6899999999998,3.0,0.0,0.0,45.82,1.0,52.2,1.0,615.8885714285714,649.6753683553186,799.2021428571428,670.4682873149593,703.868,696.1324200892459
2023-03-16,664.9399999999999,2.0,3.0,2023,3,16,3,75,0,0,575.99,3.0,0.0,0.0,890.1600000000001,3.0,193.0,1.0,698.172857142857,592.6419300250443,837.0714285714286,638.8705336626642,721.3276666666666,685.7149916777446
2023-03-17,638.36,2.0,5.0,2023,3,17,4,76,0,0,664.9399999999999,2.0,319.71000000000004,2.0,1643.92,2.0,140.55,1.0,793.1642857142857,509.5491842749218,820.9842857142856,640.264966192955,737.059,678.5525071714205
2023-03-18,665.9100000000001,2.0,4.0,2023,3,18,5,77,1,0,638.36,2.0,1069.1599999999999,4.0,354.34000000000003,1.0,0.0,0.0,838.6857142857142,473.1353277466236,749.1585714285713,595.6969625038083,753.6526666666667,669.4884732078373
2023-03-19,3438.16,4.0,9.0,2023,3,19,6,78,1,0,665.9100000000001,2.0,127.71,1.0,1674.4899999999998,6.0,117.03,1.0,781.0785714285713,464.8736747557905,771.4135714285713,585.545633426401,775.8496666666667,654.5110016276344
2023-03-20,690.71,2.0,3.0,2023,3,20,0,79,0,0,3438.16,4.0,1499.9499999999998,3.0,587.65,2.0,33.91,1.0,1254.0,1029.9072519406786,897.39,900.0442974312217,886.554,803.2121796696407
2023-03-21,38.45,1.0,1.0,2023,3,21,1,80,0,0,690.71,2.0,1294.6899999999998,3.0,1681.23,5.0,473.09000000000003,3.0,1138.3942857142858,1043.0328485536327,904.7514285714285,897.7345706478411,908.4473333333333,787.9768485524893
2023-03-22,836.9300000000001,2.0,6.0,2023,3,22,2,81,0,0,38.45,1.0,575.99,3.0,0.0,0.0,1426.3899999999999,2.0,958.9314285714287,1117.1023379474323,787.41,895.795680369821,893.9593333333333,800.1590400057906
2023-03-23,380.89,3.0,5.0,2023,3,23,3,82,0,0,836.9300000000001,2.0,664.9399999999999,2.0,0.0,0.0,256.76,1.0,996.2085714285715,1106.497395228574,847.1907142857143,866.658222124716,874.3106666666666,793.8463331015962
2023-03-24,1182.45,4.0,9.0,2023,3,24,4,83,0,0,380.89,3.0,638.36,2.0,319.71000000000004,2.0,277.81,2.0,955.63,1125.7124150658256,874.3971428571429,843.6913286671446,878.4483333333334,790.8343376071284
